fecha,53763,53834,53948,54092,rainfall(mm)
,0,0,0,0,
,0.0395,0.2015,-0.0033,-0.0033,
30/11/2015,-0.0882,0.0558,-0.3529,-0.2126,18.73
24/12/2015,0.003,0.1008,-0.4786,-0.381,28.95
17/01/2016,0.0604,0.0956,-0.3314,-0.1234,51.91
10/02/2016,0.1951,0.3255,-0.3029,-0.0229,78.53
05/03/2016,0.4374,0.515,-0.1965,0.1845,110
29/03/2016,0.4384,0.5475,-0.1855,0.1992,110
22/04/2016,0.4323,0.5075,-0.2634,0.1309,107.41
04/05/2016,0.4388,0.4951,-0.238,0.1787,42.42
16/05/2016,0.194,0.2621,-0.3965,0.0706,42.42
28/05/2016,0.2166,0.3029,-0.404,0.0928,42.42
09/06/2016,0.0748,0.215,-0.5178,-0.0941,45.47
03/07/2016,0.2002,0.3668,-0.4295,-0.0362,48.33
27/07/2016,0.2059,0.3492,-0.512,-0.2476,48.33
20/08/2016,0.5042,0.666,-0.0696,-0.0076,15.57
13/09/2016,0.7697,0.9289,0.046,0.016,26.21
01/10/2016,0.8248,0.9508,0.0795,0.0657,27.15
13/10/2016,1.0642,1.2568,0.3085,0.2545,27.15
25/10/2016,0.8396,0.9391,0.0822,0.0383,27.15
06/11/2016,0.9253,0.9365,0.1915,0.0604,20.2
18/11/2016,0.7593,0.8693,-0.0303,-0.0487,20.2
30/11/2016,0.9279,1.0162,0.1695,0.0863,20.2
12/12/2016,0.8823,1.105,0.1254,0.0697,81.9
24/12/2016,1.1929,1.3006,0.3916,0.2378,81.9
17/01/2017,1.3288,1.612,0.4413,0.278,128.87
29/01/2017,1.7675,2.0736,0.7495,0.4641,128.87
10/02/2017,1.7058,2.0799,0.8471,0.6512,90.33
22/02/2017,1.7493,2.1917,0.6713,0.5828,90.33
30/03/2017,1.719,2.2255,0.1446,0.0166,146.4
11/04/2017,1.8655,2.534,0.1273,-0.211,101.8
23/04/2017,1.8803,2.5639,-0.0906,-0.338,101.8
05/05/2017,2.0238,2.6278,-0.1654,-0.5904,56.27
17/05/2017,2.2372,2.8754,-0.2024,-0.8937,56.27
29/05/2017,2.2042,2.9,-0.4515,-1.0546,56.27
10/06/2017,2.1829,2.803,-0.591,-1.448,35.6
22/06/2017,2.1113,2.8041,-0.646,-1.4674,35.6
04/07/2017,2.0121,2.7903,-0.7474,-1.5347,28.8
16/07/2017,1.8691,2.6325,-0.8476,-1.82,28.8
28/07/2017,1.9724,2.7536,-0.8794,-1.8153,28.8
09/08/2017,1.9617,2.7272,-0.8642,-1.8272,24.73
21/08/2017,2.0052,2.8122,-0.9572,-1.9975,24.73
14/09/2017,2.0726,2.8406,-0.9137,-1.948,12.15
26/09/2017,2.0473,2.8522,-0.9506,-1.9162,12.15
08/10/2017,2.1531,2.8896,-0.8709,-1.7831,64.61
20/10/2017,2.1714,2.8393,-0.7358,-1.6933,64.61
01/11/2017,2.3614,3.1709,-0.6915,-1.6866,43.51
13/11/2017,2.4847,3.26,-0.5805,-1.6021,43.51
25/11/2017,2.3735,3.1842,-0.6695,-1.7068,43.51
07/12/2017,2.4536,3.3314,-0.6463,-1.6084,79.4
12/01/2018,2.3201,3.1261,-0.7804,-1.7412,61.4
24/01/2018,2.3134,3.2055,-0.8172,-1.78,61.4
05/02/2018,2.2056,3.0423,-0.8818,-1.8777,89.13
17/02/2018,2.2698,3.1419,-0.8783,-1.8387,89.13
01/03/2018,2.2744,3.1362,-0.8688,-1.8773,60.1
13/03/2018,2.3928,3.2075,-0.7665,-1.802,60.1
25/03/2018,2.4312,3.3166,-0.6842,-1.7558,60.1
06/04/2018,2.2137,3.001,-0.87,-1.9003,63.94
18/04/2018,2.18,3.0129,-0.8886,-1.9545,63.94
30/04/2018,2.1801,2.9887,-0.9639,-2.0682,63.94
12/05/2018,2.248,3.0467,-0.9622,-2.0704,56.67
05/06/2018,2.1193,2.9865,-1.1202,-2.1522,29.27
17/06/2018,2.0729,2.9129,-1.181,-2.3189,29.27
11/07/2018,2.0187,2.8133,-1.3134,-2.4538,16.93
23/07/2018,2.1956,3.0046,-1.1689,-2.2399,16.93
04/08/2018,2.2743,3.0377,-1.0962,-2.2105,25.07
16/08/2018,2.314,3.026,-1.104,-2.2282,25.07
28/08/2018,2.1704,2.8833,-1.3299,-2.5833,25.07
09/09/2018,2.1669,2.9416,-1.3745,-2.628,10.6
21/09/2018,2.2069,2.9521,-1.3627,-2.7319,10.6
03/10/2018,2.2188,2.9357,-1.3969,-2.7164,17.73
15/10/2018,2.214,2.8889,-1.3009,-2.5478,17.73
08/11/2018,2.1394,2.8328,-1.3619,-2.6319,141
20/11/2018,2.2123,2.8822,-1.2696,-2.5734,141
02/12/2018,2.2507,2.898,-1.2909,-2.5907,32
14/12/2018,2.2211,2.8896,-1.3021,-2.5003,32
26/12/2018,2.2713,3.0577,-1.2433,-2.4205,32
07/01/2019,2.321,3.0987,-1.1806,-2.2482,55.35
19/01/2019,2.4001,3.1828,-1.1763,-2.2664,55.35
31/01/2019,2.3305,3.1328,-1.1605,-2.2638,55.35
24/02/2019,2.4127,3.2194,-1.238,-2.2802,83.64
08/03/2019,2.3796,3.1576,-1.1654,-2.1969,59.19
20/03/2019,2.3936,3.1077,-1.2581,-2.4042,59.19
01/04/2019,2.2272,3.0315,-1.3829,-2.4471,101.2
13/04/2019,2.155,2.8499,-1.6267,-2.645,101.2
25/04/2019,2.1015,2.7988,-1.6349,-2.5813,101.2
07/05/2019,2.1412,2.807,-1.6274,-2.7668,62.73
19/05/2019,2.2825,2.952,-1.5762,-2.6231,62.73
31/05/2019,2.1291,2.8785,-1.6268,-2.712,62.73
12/06/2019,2.1702,3.0004,-1.6172,-2.631,39.4
06/07/2019,,,,,49.8
