fecha,70694,71045,68922,68926,70340,69300,rainfall(mm)
02/06/2018,0,0,0,0,0,0,29.26666667
01/06/2018,0.0398,-0.0295,-0.0636,-0.0479,-0.041,-0.0379,29.26666667
02/06/2018,-0.1531,-0.3167,-0.1899,-0.357,-0.305,-0.3205,29.26666667
02/07/2018,-0.2492,-0.3519,-0.3354,-0.1948,-0.2074,-0.3028,16.93333333
01/08/2018,-0.4459,-0.5344,-0.2282,-0.409,-0.3947,-0.6077,25.06666667
25/08/2018,-0.2976,-0.3796,-0.3003,-0.4409,-0.3465,-0.7786,25.06666667
06/09/2018,-0.0558,-0.0563,-0.0319,-0.1574,-0.1245,-0.3026,10.6
30/09/2018,-0.2408,-0.0339,0.138,0.1334,0.092,-0.2658,10.6
12/10/2018,0.0392,0.1752,-0.1297,-0.1368,0.0841,-0.3593,17.73333333
17/11/2018,0.0762,0.1135,0.1193,-0.0571,0.0248,-0.3471,141
29/11/2018,-0.104,-0.1757,-0.1236,-0.2321,-0.3163,-0.4545,141
11/12/2018,0.0032,-0.058,-0.0371,-0.2646,-0.1503,-0.3419,32
16/01/2019,0.0038,0.0832,-0.3305,-0.0146,-0.1535,-0.3128,55.34814985
09/02/2019,0.1484,0.1179,0.0785,0.1694,-0.0804,-0.2363,83.64286667
21/02/2019,0.063,0.2265,-0.0097,0.0991,0.0785,-0.3181,83.64286667
29/03/2019,0.2178,0.2532,-0.0257,0.1127,0.0736,-0.513,59.19
22/04/2019,0.1794,0.3266,0.1679,0.1148,0.1513,-0.3665,101.2
04/05/2019,0.1618,0.2427,0.0543,0.1687,0.0555,-0.4071,62.73333333
16/05/2019,0.353,0.3605,0.3855,0.4845,0.2073,-0.0733,62.73333333
09/06/2019,-0.201,-0.027,-0.1433,-0.1815,-0.351,-1.0839,39.4
21/06/2019,-0.6966,-0.7237,-0.8221,-0.8269,-1.111,-1.4254,39.4
27/07/2019,-0.7366,-0.7887,-1.0799,-0.7762,-1.0845,-1.6525,49.8
20/08/2019,-0.8875,-0.8126,-0.9563,-1.0951,-1.2518,-1.7166,28.53333333
01/09/2019,-0.8451,-0.7862,-1.2326,-0.9769,-1.1283,-1.8793,11.8
25/09/2019,-0.8419,-0.552,-1.0803,-1.0766,-1.0932,-1.7603,11.8
07/10/2019,0.2646,0.2727,0.067,0.0984,-0.2259,-0.6119,47.86666667
19/10/2019,0.3819,0.4502,0.2304,0.0735,-0.067,-0.3253,47.86666667
24/11/2019,0.3986,0.293,0.1542,0.161,-0.0729,-0.793,61.2
18/12/2019,0.4901,0.3123,0.1944,0.3544,-0.1597,-0.482,148
30/12/2019,0.6293,0.6615,0.2058,0.2473,0.1489,-0.4075,148
23/01/2020,0.6823,0.6932,0.2298,0.2623,0.1507,-0.5669,68.26666667
04/02/2020,0.6181,0.5626,0.1634,0.2431,0.0557,-0.5557,109.7333333
16/02/2020,0.6207,0.5138,0.2103,0.2266,-0.0402,-0.4597,109.7333333
28/02/2020,0.4986,0.2401,0.0237,0.2838,-0.2097,-0.8787,109.7333333
11/03/2020,0.7025,0.3934,0.0237,0.1345,-0.0524,-0.8827,48.66666667
23/03/2020,0.5817,0.2518,0.0482,-0.0672,-0.225,-1.2637,48.66666667
16/04/2020,0.4993,0.2616,-0.1576,-0.1616,-0.2868,-1.4205,67.2
28/04/2020,0.3334,0.055,-0.3916,-0.3232,-0.4993,-1.5623,67.2
03/06/2020,0.3094,0.1159,-0.3905,-0.4211,-0.596,-1.9749,47.73333333
27/06/2020,0.2194,-0.0912,-0.5194,-0.3192,-0.8197,-1.5865,47.73333333
09/07/2020,0.2899,-0.2759,-0.5054,-0.3004,-0.8114,-2.0136,48.93333333
02/08/2020,0.1578,-0.2849,-0.8229,-0.5654,-0.8562,-1.7751,7
14/08/2020,0.2835,-0.1451,-0.7429,-0.8051,-0.8129,-1.806,7
26/08/2020,0.1655,-0.2602,-0.7646,-0.837,-0.9419,-1.9669,7
01/10/2020,0.4734,0.1323,-0.4639,-0.6134,-0.6145,-1.8016,17.93333333
25/10/2020,0.4998,0.0754,-0.5345,-0.6453,-0.7121,-1.5304,17.93333333
06/11/2020,0.3364,0.0699,-0.6442,-0.8083,-0.7287,-1.6111,46.26666667
30/11/2020,0.463,0.2538,-0.2179,-0.8837,-0.5777,-1.65,46.26666667
12/12/2020,0.5991,0.0328,-0.3891,-0.6569,-0.6424,-1.6422,83.8
17/01/2021,0.955,0.5169,0.0378,-0.5433,-0.2208,-1.1004,55.73333333
29/01/2021,0.9372,0.3837,-0.0914,-0.5422,-0.4496,-1.1259,55.73333333
10/02/2021,0.9773,0.4114,0.0047,-0.4851,-0.2658,-1.397,58.93333333
06/03/2021,1.0797,0.5296,-0.1641,-0.8228,-0.265,-1.2937,213.4666667
18/03/2021,0.995,0.1924,-0.6295,-0.7439,-1.0064,-1.5981,213.4666667
11/04/2021,1.0174,-0.1196,-1.2418,-0.9878,-2.1419,-2.298,36.06666667
23/04/2021,1.2958,0.1506,-0.5091,-1.493,-2.1436,-1.306,36.06666667
17/05/2021,1.6788,0.3085,-1.0792,-1.6984,-2.2303,-1.5819,42.13333333
29/05/2021,1.4332,-0.0779,-1.2613,-1.7276,-2.652,-1.9107,42.13333333
10/06/2021,2.2174,0.8179,-1.2766,-2.0188,-1.8449,-1.9679,31.46666667
22/06/2021,1.7742,0.1839,-1.5609,-2.3418,-2.5251,-2.4341,31.46666667
04/07/2021,2.0379,0.3738,-1.4637,-2.3134,-2.3364,-2.3203,33.13333333
16/07/2021,2.0601,0.5041,-1.4673,-2.3977,-2.2951,-2.3562,33.13333333
28/07/2021,1.9612,0.5753,-1.5123,-2.6483,-2.3367,-2.5166,33.13333333
09/08/2021,2.1665,0.5872,-1.8574,-3.0978,-2.3225,-2.2617,18.4
21/08/2021,2.0936,0.5681,-1.4564,-2.5816,-2.2889,-2.4525,18.4
02/09/2021,2.0095,0.5366,-1.7212,-2.4508,-2.4815,-2.8684,29.26666667
14/09/2021,2.3211,0.8018,-1.5051,-2.0578,-2.1869,-2.6211,29.26666667
26/09/2021,2.2382,0.614,-1.7258,-2.0233,-2.434,-2.9082,29.26666667
20/10/2021,2.5708,0.996,-1.3515,-1.9397,-2.1399,-2.6488,104.2333333
01/11/2021,2.3078,0.7536,-1.6002,-2.1306,-2.451,-2.8185,93.8
